id;id_provincia;nombre
86119036;22;VILLA BRANA
86119034;22;TINTINA
86119032;22;SANTA JUSTINA
86119030;22;ROVERSI
86119029;22;QUIMILI
86119028;22;QUILUMPA
86119027;22;PUNA
86119025;22;PATAY
86119022;22;LILO VIEJO
86119020;22;LAS TINAJAS
86119019;22;HERNAN MEJIA MIRAVAL
86119018;22;HASSE
86119017;22;GRANADERO GATICA
86119015;22;ESTACION PAMPA MUYOJ
86119009;22;EL PERTIGO
86119004;22;CEJOLAO
86119002;22;ALHUAMPA
86119001;22;AEROLITO
86112016;22;LAS VIBORITAS
86112015;22;LOTE 24
86112011;22;EL CUADRO
86112010;22;EL ALBARDON
86112008;22;PASO DE LOS OSCARES
86112004;22;LIMACHE
86105046;22;PUESTO DE BELTRAN
86105045;22;LA RESBALOSA
86105044;22;LA REVANCHA
86105043;22;RIO PINTO
86105042;22;YOLO HUASI
86105041;22;VILLA VIEJA
86105040;22;VENTURA PAMPA
86105039;22;TAQUETUYO
86105038;22;TACANAS
86105031;22;PUNUA
86105030;22;PUESTO DE SUAREZ
86105029;22;PUESTO DE JUANES
86105028;22;POZO VERDE
86105027;22;POZO CIEGO
86105023;22;LA MELEADA
86105020;22;DIENTE DEL ARADO
86105018;22;CHUÑA ALBORDON
86105017;22;CAMPO AMOR
86105016;22;BURRA HUANUNA
86105015;22;AYUNCHA
86105013;22;VILLA SAN MARTIN
86105011;22;SAUCE SOLO
86098051;22;POZO GRANDE
86098049;22;EL APEADERO
86098048;22;TARUY
86098042;22;RINCON DEL SALADILLO
86098041;22;PUENTE BAJADA
86098038;22;LOTE 69
86098037;22;LOTE 63
86098036;22;LOTE 59
86098035;22;LOTE 32 LA RESERVA
86098033;22;LOTE 29 CHICO
86098032;22;LOTE 28
86098031;22;LOTE 110
86098030;22;LOJLO
86098025;22;EL DESVIO
86098024;22;EL 20
86098023;22;COLONIA JOSEFINA
86098022;22;CHICHILLAL
86098021;22;CALLEJON BAJADA
86098019;22;YUCHAN
86098018;22;VILELAS
86098017;22;TOBAS
86098016;22;TIUN PUNCO
86098015;22;SUNCHO CORRAL
86098014;22;POZO DEL TOBA
86098011;22;MELERO
86098010;22;MATARA
86098009;22;LLAJTA MAUCA
86098007;22;KILOMETRO 477
86098004;22;EL CUADRADO
86091083;22;RINCON GRANDE
86091075;22;TUSCA POZO
86091072;22;SURI POZO
86091061;22;SAN FELIX
86091046;22;MISTOL PUESTO
86091044;22;LOS TUNALES
86091043;22;LOS SANTILLAN
86091036;22;LA GUANACA
86091034;22;LA COSTOSA
86091031;22;ISCA YACU
86091021;22;EL FISCO DE FATIMA
86091020;22;EL CHURQUI
86091019;22;EL CHARCO
86091017;22;EL CADILLAL
86091016;22;EL BOBADAL
86091013;22;EL AÑIL
86091012;22;EL ARENAL
86091005;22;CASHICO
86091003;22;BUEN LUGAR
86091001;22;BAJO ALEGRE
86084096;22;GUAMPACHA
86084095;22;VILLA GUASAYAN
86084094;22;LA GUANPACHA
86084092;22;VIZCACHERAL/EL VIZCACZERAL
86084068;22;PUERTA CHIQUITA
86084058;22;MISTOL MUYOJ
86084050;22;LOMA DE YESO
86084037;22;LA BREITA
86084018;22;DOÑA LUISA
86077078;22;VINAL ESQUINA
86077077;22;LOTE 15
86077074;22;CAMPO LAGAR
86077070;22;VILLA ABREGU
86077068;22;TOMAS YOUNG
86077067;22;TACO ATUN
86077066;22;SUNCHO POZO DEL TRIUNFO
86077065;22;SUNCHO POZO ALTO
86077059;22;POZO HERRERA
86077056;22;OBRAJE MAILIN
86077054;22;MIEL DE PALO
86077052;22;LOTES 46 A 48
86077051;22;LOTES 33-37-40-42
86077050;22;LOTES 25 A 29
86077049;22;LOTES 1 A 9
86077047;22;LOS JURIES
86077041;22;LA SIMONA
86077040;22;LA SALAMANCA
86077039;22;LA PIAMONTESA
86077038;22;LA PAULINA
86077036;22;LA NENA
86077031;22;KILOMETRO 515
86077029;22;KILOMETRO 454
86077027;22;ESTANCIA LA ROSILLA
86077025;22;ESTACION TACAÑITAS
86077021;22;ESTACION LAS GAMAS
86077015;22;EL MALACARA
86077007;22;CANAL MELERO
86077006;22;CAMPO TOLEDO
86077004;22;BUEN PASO
86077003;22;AÑATUYA
86070120;22;POZO CASTAÑO
86070119;22;LOTE LA CAÑADA
86070118;22;EL CACHI
86070115;22;CAMPO VERDE
86070114;22;YACU HICHACUNA
86070112;22;VINAL ISLA
86070111;22;VILLA FIGUEROA
86070110;22;VACA HUAÑUNA
86070108;22;TRES CHAÑARES
86070104;22;TABLADA DEL BOQUERON
86070084;22;QUIMILIOJ
86070081;22;QUEBRACHAL/EL QUEBRACHAL
86070080;22;PUNITAYOJ
86070077;22;PUEBLO NUEVO
86070072;22;NUEVA COLONIA
86070069;22;MINERVA
86070067;22;MADERAS
86070065;22;MACHAGUAY HUANCHINA
86070058;22;LA TAPA
86070051;22;LA INVERNADA SUD
86070050;22;LA INVERNADA NORTE
86070041;22;LA BARROSA
86070040;22;KILOMETRO CERO
86070039;22;KILOMETRO 40
86070035;22;KILOMETRO 21
86070032;22;JUME VIEJO/JUMI VIEJO
86070025;22;EL TABLEADO
86070021;22;EL PIRUCHO
86070020;22;EL NEGRITO
86070018;22;EL CRUCERO
86070015;22;DESBASTADERO/EL DESBASTADERO
86070013;22;COLONIA TOTORILLAS
86070010;22;CASPI CORRAL
86070009;22;CARTAVIO
86070008;22;CARDON ESQUINA
86070005;22;CAMPO Y CIELO
86070003;22;BANDERA BAJADA
86070002;22;AVERIAS
86070001;22;AGUAS COLORADAS
86063118;22;KILOMETRO 55
86063116;22;CERRO CHICO
86063115;22;25 DE MAYO SUR
86063114;22;VIVA MERCEDES
86063113;22;VILLA LA PUNTA
86063106;22;SOBREMONTE
86063105;22;SINCHI CAÑA
86063071;22;PUERTA DE CHAVEZ
86063068;22;POZO DE LA PUERTA
86063060;22;LOS RALOS
86063039;22;FRIAS
86063037;22;ESTACION LA PUNTA
86063033;22;EL TACIAL/EL TASIAL
86063031;22;EL SALVADOR
86063030;22;EL RODEO/RODEO
86063023;22;EL MOJONCITO/MOJONCITO
86063013;22;CHAÑAR POZO
86063005;22;ANCAJAN
86063001;22;25 DE MAYO DE BANEGAS
86056088;22;LOTE 40
86056087;22;VILLA MATOQUE
86056084;22;DESVIO KM 1314
86056082;22;VINAL SUNI
86056079;22;URUTAU
86056078;22;TRES VARONES
86056075;22;TACIOJ/TASIOJ
86056067;22;SAN JOSE DEL BOQUERON
86056059;22;RINCON DEL VALLE
86056058;22;RANCHILLOS
86056057;22;PUESTOS UNIDOS
86056055;22;PUESTO CORDOBA
86056052;22;PIRUAJ BAJO
86056050;22;PAMPA DE LOS GUANACOS
86056049;22;PAAJ POZO
86056043;22;MANGA BAJADA
86056042;22;MAILIN
86056040;22;LOTE 43
86056039;22;LOS TIGRES
86056038;22;LOS POZANCONES
86056036;22;LOS PIRPINTOS
86056032;22;LA VIRTUD
86056029;22;LA FIRMEZA
86056026;22;ISKOY POZO
86056025;22;IFIA
86056024;22;HUIÑAJ POZO
86056023;22;GUAYACAN POZO
86056022;22;EL TUNQUELEN
86056014;22;EL CABURE
86056013;22;EL 60
86056012;22;DOS ARBOLES
86056010;22;CRUZ BAJADA
86056009;22;CONSUELO
86056008;22;COLOMBIA
86056005;22;CALOJ POZO
86056004;22;CABEZA DEL TORO
86056003;22;BUENOS AIRES
